mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11625781059265136,0.013273671105731721,0.026253414154052735,0.004873648733266448,10.0,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.10540170669555664,0.013037803345324315,0.02413144111633301,0.0016926335600608712,0.1,0.001,linear,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.1237990379333496,0.022085401053912938,0.025370693206787108,0.004944691508737247,1.0,0.001,linear,"{'C': 1, 'gamma': 0.001, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.11917219161987305,0.0028360189518062263,0.02759685516357422,0.0018365354679080153,1.0,scale,linear,"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.117893648147583,0.011599373831336933,0.026627826690673827,0.00602787962133639,1.0,auto,linear,"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.11211023330688477,0.0112806880450326,0.023633337020874022,0.004318873188880423,10.0,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.847926267281106,0.8935185185185185,0.8935185185185185,0.9027777777777778,0.8055555555555556,0.8686593275302952,0.036910630515352386,6
0.16683883666992189,0.02676452855227988,0.09194808006286621,0.00878380775425257,1.0,0.001,rbf,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}",0.8248847926267281,0.8611111111111112,0.9027777777777778,0.9166666666666666,0.8287037037037037,0.8668288103771975,0.03747440898936804,18
0.31220054626464844,0.011890813031279967,0.08052144050598145,0.00605484292935863,0.1,scale,rbf,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.7603686635944701,0.7916666666666666,0.7546296296296297,0.8472222222222222,0.7731481481481481,0.7854070660522273,0.0334208000823911,19
0.2978717803955078,0.024611168538484704,0.13672566413879395,0.011194438407515876,0.1,auto,rbf,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.7557603686635944,0.7916666666666666,0.75,0.8472222222222222,0.7731481481481481,0.7835594811401263,0.035003132267826954,20
0.3249542236328125,0.022710526560753667,0.1348423957824707,0.0076474935518489485,0.1,0.001,rbf,"{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.6912442396313364,0.7453703703703703,0.8009259259259259,0.8194444444444444,0.75,0.7613969960744154,0.04525526719624266,21
